plate,name,region,type,
1A-2234,Aung Kyaw Zin,BGO-26 (Letpadan),Rush,
2B-3341,Myo Thant,BGO-22 (Zeekone),Mitsubishi,
4D-5523,Kyaw Soe,BGO-11 (Bago),Freed,
5E-6634,Htet Aung,BGO-6 (Oaktwin),Innova,
6F-7745,Nay Lin Tun,BGO-18 (Pyay),Nissan,
7G-8856,Phyo Wai,BGO-8 (Kyauktaga),Honda,
8H-9967,Min Htet,BGO-2 (Toungoo),Freed,
9I-1078,Tun Zaw,BGO-3 (Htantabin),Swift,
1J-2189,Yan Naing,BGO-28 (Oakpo),Kia,
2K-3290,Kaung Myat,BGO-23 (Nattalin),Isuzu,
3L-4301,Pyae Sone,BGO-17 (Padaung),Rush,
4M-5412,Wai Yan,BGO-2 (Toungoo),Suzuki,
5N-6523,Naing Htoo,BGO-23 (Nattalin),Mazda,
6O-7634,Soe Moe,BGO-20 (Thaegon),Nissan,
7P-8745,Thu Rein,BGO-13 (Waw),Swift,
8Q-9856,Win Naing,BGO-7 (Kawa),Honda,
9R-1067,Kyaw Thu,BGO-28 (Oakpo),Rush,
1S-2178,Aung Moe,BGO-2 (Toungoo),Honda,
2T-3289,Thura Aung,BGO-15 (Paukkaung),Nissan,
3U-4390,Ei Phyu,BGO-13 (Waw),Teana,
4V-5401,Su Myat,BGO-3 (Htantabin),Teana,
5W-6512,Hnin Wai,BGO-28 (Oakpo),Sunny,
6X-7623,Khin Mar,BGO-4 (Phyu),Passo,
7Y-8734,Thida Oo,BGO-21 (Gyobingauk),Starex,
8Z-9845,Moe Moe,BGO-27 (Tharrawaddy),Nissan,
9A-1056,Aye Aye,BGO-6 (Oaktwin),Hyundai,
1B-2167,Nilar Win,BGO-1 (Kyaukgyi),Mitsubishi,
2C-3278,Phyu Phyu,BGO-28 (Oakpo),Outlander,
3D-4389,Zin Mar,BGO-19 (Shwedaung),Freed,
4E-5490,May Thet,BGO-28 (Oakpo),Hyundai,
5F-6501,Nan Htwe,BGO-13 (Waw),Outlander,
6G-7612,Khaing Zin,BGO-22 (Zeekone),Civic,
7H-8723,Yadanar,BGO-17 (Padaung),Suzuki,
8I-9834,Su Wai,BGO-26 (Letpadan),Jimny,
9J-1045,Myat Noe,BGO-18 (Pyay),Civic,
1K-2156,Thin Zar,BGO-12 (Shwegyin),Nissan,
2L-3267,Shwe Zin,BGO-21 (Gyobingauk),MUX,
3M-4378,Wai Wai,BGO-17 (Padaung),MUX,
4N-5489,Hay Mar,BGO-14 (Thanapin),Mazda,
5O-6590,Wai Yan,BGO-10 (Dail-U),Dmax,
6P-7601,Ba Sein,BGO-3 (Htantabin),Starex,
7Q-8712,Mg Mg,BGO-5 (Yadashe),Nissan,
8R-9823,Chit Ko,BGO-6 (Oaktwin),Isuzu,
9S-1034,Zin Ko,BGO-21 (Gyobingauk),Ertiga,
1T-2145,Hla Myint,BGO-20 (Thaegon),Rush,
2U-3256,Win Ko,BGO-17 (Padaung),CX5,
3V-4367,Kyaw Ko,BGO-2 (Toungoo),Dmax,
4W-5478,Aung Ko,BGO-22 (Zeekone),Kia,
5X-6589,Thant Zin,BGO-28 (Oakpo),Hyundai,
6Y-7690,Maung Maung,BGO-4 (Phyu),Nissan,
7Z-8701,Zeyar Aung,BGO-16 (Paungde),Toyota,
8A-9812,Sithu Kyaw,BGO-7 (Kawa),Vios,
9B-1023,Naung Naung,BGO-18 (Pyay),Vios,
1C-2134,Kyaw Kyaw,BGO-3 (Htantabin),Triton,
2D-3245,Phone Myint,BGO-15 (Paukkaung),Freed,
3E-4356,Min Thu,BGO-11 (Bago),Freed,
4F-5467,Ye Naing,BGO-24 (Monyo),Kia,
5G-6578,Thet Paing,BGO-23 (Nattalin),Passo,
6H-7689,Htun Htun,BGO-15 (Paukkaung),Jazz,
7I-8790,Eindra Kyaw,BGO-4 (Phyu),Suzuki,
8J-9801,Hnin Hnin,BGO-17 (Padaung),Mazda,
9K-1012,Aye Mya,BGO-12 (Shwegyin),Toyota,
1L-2123,Khin Khin,BGO-25 (Minhla),Vios,
2M-3234,Mya Mya,BGO-17 (Padaung),CX5,
3N-4345,Nwe Nwe,BGO-14 (Thanapin),Isuzu,
4O-5456,Pwint Phyu,BGO-2 (Toungoo),Kia,
5P-6567,Zar Zar,BGO-11 (Bago),Nissan,
6Q-7678,Htwe Htwe,BGO-19 (Shwedaung),Starex, 
7R-8789,Su Su,BGO-7 (Kawa),Isuzu,
2A-1515,Aung Tun,BGO-11 (Bago),BMW,
